StationNumber,StationName,StationType,Easting,Northing,Elevation,Status
1,S47,0,2327046.271,203752.8,2828.5,
2,S47A,0,2327006.19,203693.2,,
3,GPO,0,2397832.87,117742.37,,
4,B-14,2,2346679.326,251643.7,4065.5,Found
5,B-14A,2,,,,
6,B-15,0,2330512.295,241482.8,3406.8,Found
7,BMU45,0,2304242.82,311674.55,,
8,J4,2,2354046.277,291915.1,5249.1,Found
9,J204,0,2351544.77,187970.2,2667.2,
10,J214,0,2353066.662,234135.8,5008.7,Found
11,J217,0,2357231.727,269271.0,5086.6,Found
12,CER1,0,2358201.898,259876.9,3932.2,Found
13,CER15,0,2353877.137,260287.5,4157.8,Found
14,CGB,2,2336307.992,249537.7,3541.8,Not found
15,CR100,0,2349498.92,193036.9,2747.9,
16,CRJ,0,2363961.642,262683.5,3610.5,Found
17,CW1B,0,2364362.345,263550.3,3618.5,Found
18,FLR3,0,2369653.88,187814.7,2402.8,
19,G005,0,2373621.73,262546.9,,
20,GO21,0,2371658.5,180752.37,,
21,HW4,0,2365142.517,278796.9,4328.1,Found
22,JOSRIDGE,0,2352775.126,238369.4,4851.7,Found
23,SLME,0,2352014.154,256799.9,4236.8,Found
24,VOLPK,0,2349859.448,229185.3,4618.6,Found
25,ZAP2,0,2348626.43,256182.81,,Found
26,ZAP15,0,2351385.96,260087.9,,Found
27,ZAP28,0,2354310.391,244906.1,4597.2,Found
28,ZAP29,0,2348422.386,245551.1,4418.3,Found
29,COSO1,0,2342341.051,280355.0,4853.3,Not found
30,COSO2,0,2330959.66,268319.9,3900.7,Found
31,COSO3,0,2349817.614,266094.4,4471.0,Found
32,DOR37,0,2368459.973,259243.2,3552.7,Found
33,DOR38,0,2371729.988,261802.6,3679.0,Found
34,DOR39,0,2374135.716,262388.5,3934.0,Found
35,DOR62,0,2322175.602,236716.6,3340.5,
36,DOR63,0,2325755.461,239716.0,3323.5,
37,DOR64,0,2333920.445,244121.2,3519.2,Found
38,DOR65,0,2337374.494,246757.9,3583.4,Found
39,DOR66,0,2340630.749,249513.9,3584.8,Found
40,DOR68,0,2349993.222,252682.6,4137.8,Found
41,DOR72,0,2360207.723,260599.1,3807.6,Found
42,CSE1,0,2355932.233,259877.2,4032.4,Found
43,CSE2,0,2356080.574,257042.4,4440.4,Found
44,CSE3,0,2358864.632,255279.3,4008.3,Found
45,CSE4,0,2361824.43,257774.0,3935.7,Found
46,CSE5,0,2358265.952,249140.4,3885.8,Found
47,CS1,0,2342409.202,251235.2,3629.2,Found
48,CS3,0,2368658.614,269038.2,3748.6,Found
49,CS4,0,2368131.88,275241.9,4057.6,Found
50,CS5,0,2367032.232,280462.1,4384.3,Found
51,CS6,0,2366057.128,271193.4,3869.3,Found
52,CS7,0,2365737.027,265642.6,3619.6,Found
53,CS8,0,2365786.842,260372.8,3585.9,Found
54,CS9,0,2367031.617,254974.6,3585.9,Found
55,CS10,0,2364359.47,251560.9,3591.7,Found
56,CS11,0,2365834.233,247856.2,3513.9,Found
57,CS12,0,2365707.893,243485.5,3188.3,Found
58,CS13,0,2364606.09,238617.3,2950.0,Found
59,CS14,0,2346594.138,234447.0,4833.4,Found
60,CS15,0,2347905.755,237573.9,4786.1,Found
61,CS16,0,2357740.509,245372.3,4080.1,Found
62,CS17,0,2354567.376,247230.1,4126.4,Found
63,CS18,0,2360342.539,250818.7,3830.8,Found
64,CS19,0,2355426.158,252272.1,4013.2,Found
65,CS20,0,2350065.365,249624.2,4189.8,Found
66,CS21,0,2350123.927,260639.1,4138.1,Found
67,CS22,0,2344933.08,261876.7,4132.1,Found
68,CS23,0,2343536.74,258156.4,4098.3,Found
69,CS24,0,2340550.76,263754.1,4313.2,Found
70,CS25,0,2335681.015,266954.5,4046.3,Found
71,CS26,0,2328933.89,265922.6,3779.9,Found
72,CS28,0,2353345.318,271263.1,4854.1,Found
73,CS29,0,2347700.686,277565.3,4906.7,Found
74,CS30,0,2349670.656,283786.4,4957.5,Found
