,Unnamed: 0,DATETIME,LINE,STATION,NAME
735,735,2016-05-18 07:10:15,2.0,70,CS25
736,736,2016-05-18 07:13:14,2.0,70,CS25
737,737,2016-05-18 07:24:26,1.0,67,CS22
738,738,2016-05-18 07:26:48,1.0,67,CS22
739,739,2016-05-18 07:38:02,1.0,23,SLME
740,740,2016-05-18 07:40:20,1.0,23,SLME
741,741,2016-05-18 08:00:42,0.0,121,RE8
742,742,2016-05-18 08:03:02,0.0,121,RE8
743,743,2016-05-18 08:05:50,0.0,121,RE8
744,744,2016-05-18 08:15:05,0.0,123,RE10
745,745,2016-05-18 08:17:40,0.0,123,RE10
746,746,2016-05-18 08:48:50,0.0,122,RE9
747,747,2016-05-18 08:51:27,0.0,122,RE9
748,748,2016-05-18 09:04:41,0.0,43,CSE2
749,749,2016-05-18 09:07:44,0.0,43,CSE2
750,750,2016-05-18 09:17:36,0.0,151,RE37
751,751,2016-05-18 09:20:06,0.0,151,RE37
752,752,2016-05-18 09:33:55,1.0,23,SLME
753,753,2016-05-18 09:37:07,1.0,23,SLME
754,754,2016-05-18 09:47:47,0.0,124,RE11
755,755,2016-05-18 09:50:21,0.0,124,RE11
756,756,2016-05-18 09:53:00,0.0,124,RE11
757,757,2016-05-18 10:02:42,0.0,146,RE32
758,758,2016-05-18 10:05:55,0.0,146,RE32
759,759,2016-05-18 10:13:44,0.0,145,RE31
760,760,2016-05-18 10:16:29,0.0,145,RE31
761,761,2016-05-18 10:31:48,0.0,44,CSE3
762,762,2016-05-18 10:34:46,0.0,44,CSE3
763,763,2016-05-18 10:46:37,0.0,144,RE30
764,764,2016-05-18 10:49:17,0.0,144,RE30
765,765,2016-05-18 11:08:50,0.0,111,CS70
766,766,2016-05-18 11:11:31,0.0,111,CS70
767,767,2016-05-18 11:24:40,0.0,141,RE27A
768,768,2016-05-18 11:27:22,0.0,141,RE27A
769,769,2016-05-18 11:52:52,0.0,45,CSE4
770,770,2016-05-18 11:55:54,0.0,45,CSE4
771,771,2016-05-18 12:09:05,0.0,111,CS70
772,772,2016-05-18 12:11:51,0.0,111,CS70
773,773,2016-05-18 12:41:31,0.0,55,CS10
774,774,2016-05-18 12:44:38,0.0,55,CS10
775,775,2016-05-18 12:47:03,0.0,55,CS10
776,776,2016-05-18 12:49:09,0.0,55,CS10
777,777,2016-05-18 12:59:48,0.0,138,RE25
778,778,2016-05-18 13:04:06,0.0,138,RE25
779,779,2016-05-18 13:06:20,0.0,138,RE25
780,780,2016-05-18 13:47:20,0.0,64,CS19
781,781,2016-05-18 13:49:56,0.0,64,CS19
782,782,2016-05-18 14:05:13,0.0,148,RE34
783,783,2016-05-18 14:07:41,0.0,148,RE34
784,784,2016-05-18 14:11:00,0.0,148,RE34
785,785,2016-05-18 14:24:57,0.0,126,RE13
786,786,2016-05-18 14:27:40,0.0,126,RE13
787,787,2016-05-18 14:30:09,0.0,126,RE13
788,788,2016-05-18 14:40:06,1.0,23,SLME
789,789,2016-05-18 14:42:56,1.0,23,SLME
790,790,2016-05-18 14:45:03,1.0,23,SLME
791,791,2016-05-18 14:59:13,0.0,42,CSE1
792,792,2016-05-18 15:01:55,0.0,42,CSE1
793,793,2016-05-18 15:04:29,0.0,42,CSE1
794,794,2016-05-18 15:24:51,1.0,67,CS22
795,795,2016-05-18 15:27:27,1.0,67,CS22
796,796,2016-05-18 15:39:10,2.0,70,CS25
797,797,2016-05-18 15:41:44,2.0,70,CS25
1351,1351,2016-05-19 10:21:47,2.0,70,CS25
1352,1352,2016-05-19 10:26:02,2.0,70,CS25
1353,1353,2016-05-19 10:49:35,1.0,23,SLME
1354,1354,2016-05-19 10:52:15,1.0,23,SLME
1355,1355,2016-05-19 11:10:31,0.0,40,DOR68
1356,1356,2016-05-19 11:13:34,0.0,40,DOR68
1357,1357,2016-05-19 11:25:37,0.0,4,B-14
1358,1358,2016-05-19 11:28:18,0.0,4,B-14
1359,1359,2016-05-19 11:30:40,0.0,4,B-14
1360,1360,2016-05-19 11:45:48,0.0,47,CS1
