Station,"X, in feet1","Y, in feet1","Change in gravity (∆G), in milliGals"
B-14,2346679,251644,2.2839003
B-15,2330512,241483,37.44722993
CER1,2358202,259877,8.02527586
CER15,2353877,260288,-6.1512531
COSO2,2330960,268320,7.19452032
COSO3,2349818,266094,-24.87773522
CS1,2342409,251235,29.11036097
CS10,2364359,251561,32.48884178
CS11,2365834,247856,36.65477518
CS12,2365708,243486,55.09576485
CS13,2364606,238617,68.77497728
CS14,2346594,234447,-47.60753397
CS15,2347906,237574,-42.18800904
CS16,2357741,245372,5.72716592
CS17,2354567,247230,1.49475769
CS18,2360343,250819,17.82986252
CS19,2355426,252272,7.91335847
CS20,2350065,249624,-2.72962794
CS21,2350124,260639,-6.34720485
CS22,2344933,261877,-4.32993882
CS23,2343537,258156,-0.74916968
CS24,2340551,263754,-12.07534502
CS25,2335681,266955,0
CS26,2328934,265923,16.30083057
CS28,2353345,271263,-48.42762776
CS29,2347701,277565,-56.19733996
CS3,2368659,269038,19.32376791
CS30,2349671,283786,-62.05572829
CS31,2353638,264066,-17.38258681
CS34,2372447,258439,22.19266726
CS35,2369775,255063,28.58600883
CS36,2371084,244052,56.0681364
CS37,2373119,244667,52.9236494
CS38,2369579,239487,68.25430688
CS4,2368132,275242,-1.58990787
CS41,2346863,288461,-64.7217675
CS43,2340691,273831,-46.7128235
CS44,2338026,284231,-53.85578056
CS5,2367032,280462,-20.80573685
CS52,2354656,282094,-62.84691893
CS6,2366057,271193,12.18149589
CS63,2361998,213658,97.42615993
CS64,2366575,230164,80.01728066
CS65,2367419,286210,-36.10457569
CS66,2336949,263777,-10.11209437
CS67,2345799,254712,-23.43168683
CS7,2365737,265643,24.23116967
CS70,2363225,253574,25.95837256
CS8,2365787,260373,25.67756685
CS9,2367032,254975,28.70804436
CSE1,2355932,259877,1.34913998
CSE2,2356081,257042,-23.3184232
CSE3,2358865,255279,6.15335721
CSE4,2361824,257774,8.48845744
CSE5,2358266,249140,16.85578651
CW1B,2364362,263550,23.83963851
DOR37,2368460,259243,26.65109478
DOR38,2371730,261803,20.26332768
DOR39,2374136,262389,5.84190669
DOR64,2333920,244121,31.40327054
DOR65,2337374,246758,29.03973491
DOR66,2340631,249514,31.51190039
DOR68,2349993,252683,-1.15597741
DOR72,2360208,260599,14.37016973
HW4,2365143,278797,-18.94592112
J214,2353067,234136,-63.33610535
J217,2357232,269271,-62.25244069
J4,2354046,291915,-76.5308078
JOSRIDGE,2352775,238369,-48.81070645
RE1,2351206,260808,-11.25415119
RE10,2354612,255180,-18.10587899
RE11,2353107,253605,3.4095101
RE12,2352213,247985,2.27585865
RE13,2352816,251691,0.89769682
RE14,2353008,249717,0.02572826
RE15,2352711,245901,1.9321282
RE16,2351984,242689,-15.95001837
RE2,2353497,261928,-16.48870649
RE20,2358654,245236,7.86168871
RE21,2360846,245403,19.03953311
RE25,2362034,250737,24.5587134
RE27A,2363669,254916,24.1071194
RE30,2360442,253617,12.09658343
RE31,2357390,253980,7.55158502
RE32,2356301,253157,0.66520072
RE33,2367252,245057,52.42987406
RE34,2354534,251370,-3.26397509
RE35,2353631,260441,-8.61514844
RE36,2361814,261093,18.73139952
RE37,2358274,257224,-10.31232279
RE39,2350722,264326,-14.89091714
RE4,2357683,259802,6.42613506
RE40,2350847,266261,-24.21614755
RE5,2353796,259481,-3.34672394
RE7,2352962,257949,-5.93148376
RE8,2354116,256866,-16.16445758
RE9,2357181,255983,-14.81229518
SLME,2352014,256800,-10.00196262
VOLPK,2349859,229185,-35.26467283
ZAP15,2351206,260808,-22.35539539
ZAP2,2348626,256194,-73.86666211
ZAP28,2354310,244906,-31.58289749
ZAP29,2348422,245551,-15.6998672
